[ 2025-08-18 15:52:08,646 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 15:52:09,985 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 15:52:09,985 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 15:52:09,985 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 15:52:10,014 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 15:52:10,014 ] 22 root - INFO - Data ingestion completed
[ 2025-08-18 15:52:10,018 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-18 15:52:10,026 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:52:10,026 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:52:10,026 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:52:10,026 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:52:10,118 ] 28 root - INFO - data Validation Completed
[ 2025-08-18 15:52:10,118 ] 31 root - INFO - data Transformation started
[ 2025-08-18 15:52:10,118 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-18 15:52:10,118 ] 65 root - INFO - Starting data transformation
[ 2025-08-18 15:52:10,127 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-18 15:52:10,128 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-18 15:52:10,132 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 15:52:10,133 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 15:52:10,133 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 15:52:10,135 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 15:52:10,135 ] 35 root - INFO - data Transformation completed
