[ 2025-08-18 15:23:13,821 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-18 15:23:15,432 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 15:23:15,433 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 15:23:15,433 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 15:23:15,461 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 15:23:15,461 ] 21 root - INFO - Data ingestion completed
[ 2025-08-18 15:23:15,464 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-18 15:23:15,473 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:23:15,473 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:23:15,473 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:23:15,473 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:23:15,548 ] 27 root - INFO - data Validation Completed
