[ 2025-08-18 15:49:36,626 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 15:49:38,290 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 15:49:38,290 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 15:49:38,290 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 15:49:38,319 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 15:49:38,319 ] 22 root - INFO - Data ingestion completed
[ 2025-08-18 15:49:38,322 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-18 15:49:38,331 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:49:38,331 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:49:38,331 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 15:49:38,331 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 15:49:38,414 ] 28 root - INFO - data Validation Completed
